score,price,bedrooms,neighborhood,distance_miles,posted_date,title,url,description
44,1030,1,Clinton Hill,1.37,2026-06-02,Bright & Spacious 1 Bedroom | Prime Clinton Hill on 220 St. James Pl,https://newyork.craigslist.org/brk/apa/d/brooklyn-bright-spacious-bedroom-prime/7938241676.html,"Bright & Spacious 1 Bedroom | Prime Clinton Hill Location | Utilities Included 220 St. James Place, Apt 2C, Brooklyn, NY 11238 Available Now Welcome to this bright and inviting one-bedroom apartment i"
43,1150,1,Boerum Hill,0.67,2026-06-02,Gut Renovated 1 Bedroom | Skylight with In-Unit Washer/Dryer,https://newyork.craigslist.org/brk/apa/d/brooklyn-gut-renovated-bedroom-skylight/7938266708.html,"Gut Renovated 1 Bedroom | Skylight | In-Unit Washer/Dryer | Boerum Hill 259 Wyckoff St, Apt 6, Brooklyn, NY 11217 Don't miss this beautifully renovated one-bedroom apartment in the heart of Boerum Hil"
36,1100,1,Lower East Side,1.54,2026-06-02,Bright & Renovated 1BR – Heart of Ludlow! Virtual Doorman & Storage,https://newyork.craigslist.org/mnh/apa/d/new-york-bright-renovated-1br-heart-of/7938267688.html,"Bright and renovated 1 bedroom in the heart of it all on 75 Ludlow St, Lower East Side, NY 10002, USA Apartment Details: - Abundance of closet space with overhead storage, shelving and hanging racks -"
33,1231,1,Prospect Heights,1.53,2026-06-02,Gorgeous Top-Floor Prospect Heights 1BR w/ Hardwood Floors & Park!,https://newyork.craigslist.org/brk/apa/d/brooklyn-gorgeous-top-floor-prospect/7938250798.html,"Rental Opportunity – Top-Floor 1BR, Prospect Heights Property Address: 20 Butler Place APT 72 Prospect Heights, Brooklyn, NY 11238 Unit Description: Spacious one-bedroom on the top floor with all-day "
33,1030,2,Williamsburg,2.03,2026-06-02,"'@#@ Update Bright 2 bedroom, 1 bathroom home in Williamsburg!",https://sfbay.craigslist.org/sfc/apa/d/brooklyn-update-bright-bedroom-bathroom/7938241650.html,"This Two story gem consists of an upper duplex with roofdeck potential, over the lower duplex with basement and a backyard. Either unit would work for an end user with the rental unit income covering "
33,1259,1,Brooklyn,1.91,2026-06-02,Junior 1Bed Loft Style with Great Closet Space & Natural Light,https://newyork.craigslist.org/brk/apa/d/brooklyn-junior-1bed-loft-style-with/7938234359.html,"Sunny Loft-Style 1 Bedroom | High Ceilings | Great Closet Space | Heat & Hot Water Included Available Now 159 Eastern Pkwy, APT 6D, Brooklyn, NY 11238 If you're looking for a bright, spacious apartmen"
33,1120,2,Park slope south,1.81,2026-06-01,2BR 1BA Original Layout Renovated 5th Ave Park Slope,https://hudsonvalley.craigslist.org/apa/d/brooklyn-2br-1ba-original-layout/7938218355.html,2BR 1BA Original Layout Renovated 5th Ave Park Slope No fee Spacious High ceilings 2nd fl. walkup Hardwood floors Heat & hot water included Brand new gut renovation throughout Spacious apartment with 
21,1130,1,Kensington,3.53,2026-06-02,Spacious Rentals in Beautiful Brooklyn Apartment at 483 Ocean Pkwy!,https://newyork.craigslist.org/brk/apa/d/brooklyn-spacious-rentals-in-beautiful/7938248983.html,"Investment Opportunity – Kensington Rental Property Property Address: 483 Ocean Pkwy, Kensington, Brooklyn Description: Post-war (1964), 6-story, 64-unit rental building with underground parking. Kens"
15,1100,0,FLATBUSH,3.56,2026-06-02,ROOM ONLY! SHARED KITCHEN & BATHROOM*,https://newyork.craigslist.org/brk/apa/d/brooklyn-room-only-shared-kitchen/7938230638.html,TEXT 646-709-4227 ROOM FOR RENT ! SHARED KITCHEN AND BATHROOM WITH OTHER HOUSEMATES Paystubs Tax Return Employment Letter Most Recent Bank Statement State ID TEXT 646-709-4227
12,1400,1,Stuyvesant Heights,3.13,2026-06-02,Bright & Spacious 1BR in the Heart of Stuyvesant Heights,https://newyork.craigslist.org/brk/apa/d/brooklyn-bright-spacious-1br-in-the/7938245617.html,"Bright & Spacious 1 Bedroom | Prime Bed-Stuy Location | Near Parks, Cafés & Transit Pulaski St, Brooklyn, NY 11221 Available Now Experience the very best of Brooklyn living in this bright and spacious"
0,940,,Kings County,2.39,2026-06-02,"Bernard Brooklyn Home, New York City Student Apartments | Amber",https://amberstudent.com/places/bernard-brooklyn-home-brooklyn-2207181201880,Explore Bernard Brooklyn Home student housing in New York City with amber. Choose from a range of ensuites and non esnuites with top-notch amenties located near Medgar Evers College.
0,,,,,2026-06-02,Cornelius Bushwick Home Brooklyn,https://amberstudent.com/places/cornelius-bushwick-home-brooklyn-2207158468241,
0,,,,,2026-06-02,141 Hart St Brooklyn,https://amberstudent.com/places/141-hart-st-brooklyn-2305121841186?gallery=true&galleryId=267205&tab=all,
0,0,,Kings County,2.04,2026-06-02,Crown 1162 New York 11216 | Amber,https://amberstudent.com/places/crown-1162-new-york-2406222677253,"Crown 1162 New York features comfortable student apartments in Brooklyn near Pratt Institute with private rooms, shared spaces, premium amenities, and easy connectivity."
0,,,,,2026-06-02,354 93 Street Brooklyn,https://streeteasy.com/building/354-93-street-brooklyn/1?utm_campaign=rental_listing&utm_medium=share&utm_source=web&lstt=DNNub5DBsGTeGacQ3du7AsAjEFNeE4shFtRyxcgrXzpJ5YoRaqfvy78Y2M7o-Z4XwdNOakWqfQO5RTz8,
0,,,,,2026-06-02,1273 Rogers Avenue Brooklyn,https://streeteasy.com/building/1273-rogers-avenue-brooklyn/2d?utm_campaign=rental_listing&utm_medium=share&utm_source=web&lstt=NAG-7ybC-ej1nfSJB2R43dfg0fV1Af2X3bBmsVh49XnVGcBrmWCsiUACs2SP2YYaxfERq7d79NNZsaBw,
0,,,,,2026-06-02,Ttb76F5Dhiqojcpp7,https://goo.gl/maps/TTB76f5dHiQojCPP7,
0,,,,,2026-06-02,V6Nk3Bfjz8Vk2Ob56,https://maps.app.goo.gl/V6Nk3BfJz8vk2ob56,
0,1500,1,Brooklyn,4.19,2026-06-02,"1273 Rogers Avenue #2D in Flatbush, Brooklyn",https://streeteasy.com/building/1273-rogers-avenue-brooklyn/2d?utm_campaign=rental_listing&utm_medium=share&utm_source=web&lstt=7y9AK3TginYu4BbxLD_B2NEEj32YA-ktWuTZJb3NHsfJnT_rFqvjo8NzztngzrvEwV0uGcy1twseuTji,"1273 Rogers Avenue, Brooklyn, Ny, 11226: *Welcoming 1BR with Great Flow & Comfortable Everyday Living* This charming 1-bedroom home offers a layout that feels both ..."
0,1395,,Fort Hamilton,5.69,2026-06-02,"354 93rd Street #1 in Fort Hamilton, Brooklyn",https://streeteasy.com/building/354-93-street-brooklyn/1?utm_campaign=rental_listing&utm_medium=share&utm_source=web&lstt=mXMIw2l602eCDgZ8UYod8bVqGCF_D3CLiNjRkuRpdVmS4MjaoMey6kUwR4jT7eKUQ2ijXudmY27AKW1W,"354 93rd Street, Brooklyn, Ny, 11209: This 1 room studio apartment is located in a well-kept, prewar building in Bay Ridge. Enjoy a wide variety of nearby shops and ..."
0,1330,1,Brooklyn,3.05,2026-06-02,"99 Kingsland Ave for $1,330/month on PadMapper",https://www.padmapper.com/rentals/20493753p/1-bedroom-1-bath-apartment-at-99-kingsland-ave-new-york-ny-11222#back=%2Fapartments%2Fbrooklyn-ny%2Funder-1500%3Fbox%3D-74.04241%2C40.56616%2C-73.83336%2C40.73944,"99 Kingsland Ave is a 1 bed, 1 bath apartment in Williamsburg, New York. This apartment is listed for rent at $1,330/month. Search for other sublets, houses and apartment rentals in New York, then use"
