score,price,bedrooms,neighborhood,distance_miles,posted_date,title,url,description
28,900,1,,2.92,2026-06-23,2 bedrooms 1 bath fully renovated sunset park 4 ave 42 st,https://www.craigslist.org/view/d/brooklyn-bedrooms-bath-fully-renovated/mDoJiXDrQoEqczBB7B47gr,2 bedrooms 1 bath fully renovated update kitchen and appliances nice size rooms spacious Text-William: show contact info
26,980,0,Brooklyn/ Sunset park,2.92,2026-06-30,Room for rent!this are 2 rooms)Sharing bathroom/kitchen.No Broker Fee!,https://www.craigslist.org/view/d/brooklyn-room-for-rentthis-are/2t3YN2HY6CofDKCYcm8fjW,"This is a two rooms togheter! sharing bathroom and kitchen with a couple and 1 other persons. For two persons it's $1,100 Utilities are included! Train D,N, express at 36 st. No broker fee ! Industry "
23,1150,1,Washington,2.65,2026-06-30,1 bedroom 1 bath,https://www.craigslist.org/view/d/new-york-bedroom-bath/u6reU6ZPAKwoB2riDfnE92,"Sunny 1 bedroom 1 bath main floor unit of a townhome in the heart of Capitol Hill. The units features include hardwood floors, newly renovated bathroom and kitchen with granite counter and 10 foot cei"
22,1050,1,,3.13,2026-07-01,Bright & Spacious Bed-Stuy 1 Bedroom on Pulaski Street – Available Aug,https://www.craigslist.org/view/d/brooklyn-bright-spacious-bed-stuy/5kZpEV5Fr2VWY84WGmoqfm,"Hi everyone, Listing a spacious 1-bedroom / 1-bathroom apartment located on Pulaski St in Bedford-Stuyvesant. It's a clean, well-maintained building on a very peaceful block. What’s included: - Queen-"
15,1100,0,FLATBUSH,3.56,2026-07-01,ROOM ONLY! SHARED KITCHEN & BATHROOM*,https://www.craigslist.org/view/d/brooklyn-room-only-shared-kitchen/oNf3N7beYu1NfY5GaZpRsM,TEXT 646-709-4227 ROOM FOR RENT ! SHARED KITCHEN AND BATHROOM WITH OTHER HOUSEMATES Paystubs Tax Return Employment Letter Most Recent Bank Statement State ID TEXT 646-709-4227
0,,,,,2026-07-01,Bernard Brooklyn Home Brooklyn,https://amberstudent.com/places/bernard-brooklyn-home-brooklyn-2207181201880,
0,950,,Kings County,3.64,2026-07-01,"Cornelius Brooklyn Home, New York City Student Apartments | Amber",https://amberstudent.com/places/cornelius-bushwick-home-brooklyn-2207158468241,Explore Cornelius Brooklyn Home student housing in Brooklyn near Pratt Institute. It offers room types like ensuites and non-ensuites including amenities like a coffeemaker.
0,,,,,2026-07-01,141 Hart St Brooklyn,https://amberstudent.com/places/141-hart-st-brooklyn-2305121841186?gallery=true&galleryId=267205&tab=all,
0,,,,,2026-07-01,Crown 1162 New York,https://amberstudent.com/places/crown-1162-new-york-2406222677253,
0,,,,,2026-07-01,354 93 Street Brooklyn,https://streeteasy.com/building/354-93-street-brooklyn/1?utm_campaign=rental_listing&utm_medium=share&utm_source=web&lstt=DNNub5DBsGTeGacQ3du7AsAjEFNeE4shFtRyxcgrXzpJ5YoRaqfvy78Y2M7o-Z4XwdNOakWqfQO5RTz8,
0,,,,,2026-07-01,1273 Rogers Avenue Brooklyn,https://streeteasy.com/building/1273-rogers-avenue-brooklyn/2d?utm_campaign=rental_listing&utm_medium=share&utm_source=web&lstt=NAG-7ybC-ej1nfSJB2R43dfg0fV1Af2X3bBmsVh49XnVGcBrmWCsiUACs2SP2YYaxfERq7d79NNZsaBw,
0,,,,,2026-07-01,Ttb76F5Dhiqojcpp7,https://goo.gl/maps/TTB76f5dHiQojCPP7,
0,,,,,2026-07-01,V6Nk3Bfjz8Vk2Ob56,https://maps.app.goo.gl/V6Nk3BfJz8vk2ob56,
0,1500,1,Brooklyn,4.19,2026-07-01,"1273 Rogers Avenue #2D in Flatbush, Brooklyn",https://streeteasy.com/building/1273-rogers-avenue-brooklyn/2d?utm_campaign=rental_listing&utm_medium=share&utm_source=web&lstt=7y9AK3TginYu4BbxLD_B2NEEj32YA-ktWuTZJb3NHsfJnT_rFqvjo8NzztngzrvEwV0uGcy1twseuTji,"1273 Rogers Avenue, Brooklyn, Ny, 11226: *Welcoming 1BR with Great Flow & Comfortable Everyday Living* This charming 1-bedroom home offers a layout that feels both ..."
0,1395,,Fort Hamilton,5.69,2026-07-01,"354 93rd Street #1 in Fort Hamilton, Brooklyn",https://streeteasy.com/building/354-93-street-brooklyn/1?utm_campaign=rental_listing&utm_medium=share&utm_source=web&lstt=mXMIw2l602eCDgZ8UYod8bVqGCF_D3CLiNjRkuRpdVmS4MjaoMey6kUwR4jT7eKUQ2ijXudmY27AKW1W,"354 93rd Street, Brooklyn, Ny, 11209: This 1 room studio apartment is located in a well-kept, prewar building in Bay Ridge. Enjoy a wide variety of nearby shops and ..."
0,1330,1,Brooklyn,3.05,2026-07-01,"99 Kingsland Ave for $1,330/month on PadMapper",https://www.padmapper.com/rentals/20493753p/1-bedroom-1-bath-apartment-at-99-kingsland-ave-new-york-ny-11222#back=%2Fapartments%2Fbrooklyn-ny%2Funder-1500%3Fbox%3D-74.04241%2C40.56616%2C-73.83336%2C40.73944,"99 Kingsland Ave is a 1 bed, 1 bath apartment in Williamsburg, New York. This apartment is listed for rent at $1,330/month. Search for other sublets, houses and apartment rentals in New York, then use"
